code	product_name_de	quantity	categories_tags	ingredients_text_de
4099200412085	Tomaten	1kg		
4061462341328	Studentenfutter - Classic	200 g	en:plant-based-foods-and-beverages,en:plant-based-foods,de:nuss-frucht-mischung,de:studentenfutter	ungeschwefelte Sultaninen 40% (Sultaninen, Sonnenblumenöl), _Mandeln_ blanchiert 20%, _Paranusskerne_ 15%, _Haselnusskerne_ 10%, _Walnusskerne_ 10%, _Cashewkerne_ 5%
22127235	Pinienkerne	50 g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:pine-nuts	
2111481008763	ALDI BBQ Spare Ribs „St.Louis Cut“ gewürzt Bauchrippen vom Schwein			
4061458026550	Krautsalat mit Karotten und Paprika	350 g	en:snacks,en:salty-snacks,en:appetizers,en:meals,en:prepared-salads,en:coleslaw	
4061458004923	Brechbohnen	660 g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:canned-foods,en:fruits-and-vegetables-based-foods,en:legumes,en:canned-plant-based-foods,en:vegetables-based-foods,en:green-beans,de:bohnen-im-glas,de:gemüse-im-glas	Bohnen, Wasser, Salz, Säuerungsmittel: Citronensäure.
4061458089838	Vanillinzucker	7g	en:sweeteners,en:sugars,en:vanilla-sugars,en:vanillin-sugars	Zucker, Aroma (Vanillin).
4061458160964	Schokolade Chunks Zartbitter	100g	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:dark-chocolates	Zucker, Kakaomasse, Kakaobutter, Emulgator (Lecithin (Sonnenblume))
4061458032247	Speisequark 40% Fett in Trockenmasse	250 g	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-cheeses,en:quarks,pt:lacticinios,pt:queijos-frescos-quark	Magermilch, Sahne, Milchsäurekulturen (enthalten Milch), mikrobieller Labaustauschstoff.
4061458039956	Riesen Garnelen	360g		
4061459583946	Rote Speisezwiebeln	1kg	en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:fruits-and-vegetables-based-foods,en:culinary-plants,en:vegetables-based-foods,en:onions-and-their-products,en:onions	Rote Zwiebeln
4061461912529	Chutney - Ingwer-Limette	180 g	de:chutneys	
22123152	Hähnchenbrustfilet, Klassik	150 g	en:meats-and-their-products,en:prepared-meats,fr:charcuteries-cuites,en:cooked-poultry-breast-slices,en:cooked-chicken-breast-slices	Hähnchenbrust, jodiertes Nitritpôkelsalz (Speisesalz, Kaliumjodat, Konservierungsstoff: Natriumnitrit), Traubenzucker, Gewürze (Zwiebel, Lauch, Schalotten), Stabilisator: Triphosphate, Antioxidationsmittel: Natriumascorbat; Rapsöl.
4061458013406	Sonnenmais	3pcs	en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:cereals-and-potatoes,en:fruits-and-vegetables-based-foods,en:seeds,en:canned-plant-based-foods,en:cereals-and-their-products,en:vegetables-based-foods,en:canned-vegetables,en:cereal-grains,en:corn,en:canned-cereals,en:canned-corn,en:canned-sweet-corn	Mais, Wasser, Salz.
4061458016933	Stangen Spargel	205g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:vegetable-rods,en:asparagus	Spargel, Wasser, Salz, Säuerungsmittel : Citronensäure
4061458045797	Wraps - Mehrkorn	372 g (6 Stück)	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:white-breads,en:wheat-breads,en:wheat-flatbreads	Weizenmehl, Wasser, Rapsöl, Feuchthaltemittel: Glycerin; Dinkelweizenmehl, Hafermehl, Roggenmehl, Roggenmalzschrot, Leinsamen (gold, braun) (1 %), Emulgator: Mono-und Diglyceride von Speisefettsäuren; jodiertes Speisesalz (Speisesalz, Kaliumiodat), Traubenzucker, geröstetes Gerstenmalzmehl, Weizenkeime, Säureregulatoren: Äpfelsäure, Natriumacetate; Stabilisator: Natrium-Carboxymethylcellulose
4061458021630	Edelbitter-Schokolade 85% Cacao	125g (5 x 25g)	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates	Kakaomasse, Kakaobutter, Zucker, magerer Kakao, Emulgator Lecithine (Soja), Vanilleextrakt,
4047247165129		180g	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:pastries,en:waffles	Glukose-Fruktose-Sirup; Weizenmehl; Zucker; pflanzliche Fette: Palm, Palmkern, Shea; fettarmes Kakaopulver; Feuchthaltemittel: Sorbit; Hühnereieiweiß¹; Backtriebmittel: Natriumcarbonate, Emulgator: Sojalecithine; färbendes Lebensmittel: Rote Bete Saftkonzentrat; Geliermittel: Agar-Agar; hatürliches Aroma. 1. Efer aus Bodenhaltun Das Produit enthält keine Ge COCOA Fairtrade-Kakao kann as nicht-zertifizierten Kakao e Mehr Info: info.fairtrade.heh Hergestellt von: Nawarra Süßwaren GmbH 48329 Havixbeck Deutschland Brennweit 1666 Fett -
4047247165136		175g	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:pastries,en:waffles	500 k Rote Bete Saftkonzentrat; Geliermittel: Agar-Agar, natürliches Aroma Fairtrade-kakao kanals Men Schaumzuckerware mit 29% kakaohaltiger Fettglasur, teilweise mit 6% Kokosraspeln bestreut Zutater kose-Fruktose-Sirup, Weizehl, Zucker, pflanzliche Fette Palm, Palmkern, Shea; okosraspeln 6 %, fettarmes akaopulver 3,2 %, Hühnereie vei Conchthalt COCOA mittel. Sort Emulgatoren: Sojalecithine; Backtriebsmittel: Natriumcarbonate; natürliches Aroma, Geliermittel: Agar-Agar Speisesalz. Eier aus Bonaltung. Das Produkt ält keine Gelatine. 0,1g &quot;Referenmenge für einen durchschnittlicher (8400 kJ/2000 al 1 Portion=1 Waff No Packing the Hergestellt von: Nawarra Süßwaren GmbH 48329 Havixbeck Deutschland Durchschnittliche Je 100 g Brennwert 1803 9 kcal on gattigte et auren blendrate dan ker So tr Papier Referenzmenge für einen durchs (8400 k12000 kcal 1 Pertic Die Packung sthalt SAS: 4017247165 trennt Gelbe Tonne Fairtrade-Kakao kann als Mengenausgleich mit nicht-zertifizierten Kakao vermischt werden. Mehr Info: info.fairtrade.net/sourcing
4061461097912	Hojiblanca-Oliven grün	320 g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:pickles,en:olive-tree-products,en:plant-based-pickles,en:olives,en:green-olives	Grüne Oliven, Wasser, Meersalz, Säuerungsmittel: Citronensäure, Milchsäure; Antioxidationsmittel: Ascorbinsäure.
23214460	Tomatensauce all'Arrabbiata	349 g, 325 ml	en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:sauces,en:pasta-sauces,en:tomato-sauces,en:arrabbiata-sauces,en:hot-sauces,en:groceries	51 % gewürfelte Tomaten, 40 % Tomatenpüree Rohrohrzucker Sonnenblumenöl, rote Paprika, Speisesalz, 1% Chils, Maisstärke, Petersilie, Knoblauchpulver, Zitronensaftkonzentrat
4061458073301	Pesto Rosso	190 g	en:condiments,en:sauces,en:pestos,en:red-pestos,en:groceries	Tomatenfruchtfleisch (34 %), Sonnenblumenöl (25 %), Tomatenmark, Glukosesirup, Grana Padano g.U. Käse (5 %) (Milch, Salz, Lab, Konservierungsstoff: Lysozym as Ei), Cashewkerne (4 %), Salz, Basilikum (3 %), natürliche Aromen (enthalten Milcheiweiß, Lactose), Maisstärke, Balsamico Essig (Weinessig, Traubenmostkonzentrat, Antioxidationsmittel: Schwefeldioxid, Farbstoff: E 150d), Pecorino Romano g.U. Käse (1 %) (Schafsmilch, Salz, Lab), Zucker, Semmelbrösel (Weizenmehl, Hefe, Salz, Wasser), Milcheiweiß (enthält Lactose), Knoblauch, Säuerungsmittel: Citronensäure. Kann Spuren von Erdnüssen enthalten.
4061458045926	Mini-Salatwürfel ohne Öl - Natur	150 g		
4061458101004	Mini-Salatwürfel ohne Öl - Arrabiata	150 g		Käse in Salzlake gereift (45% Fett i. Tr.) (96%) (Milch, Speisesalz, mikrobieller Labaustauschstoff, Käsereikulturen (enthalten Milch)), Tomaten, Chili, Thymian, Oregano, Basilikum, Majoran, Paprika, Zwiebel, Knoblauch.
4061458024037	Humus	200g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spreads,en:plant-based-spreads,en:salted-spreads,en:sauces,en:dips,en:hummus	Kichererbsen 46%, Rapsöl, _Sesampaste_, Branntweinessig, Paprika, Zucker, Wasser, gehackte Chili-Schoten, Salz, Knoblauch, Säuerungsmittel : Milchsäure; Kreuzkümmel, Chili, Petersilie
4061458180634		330g (2 x 165g)	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:meals,en:breads,en:focaccia,en:pre-baked-breads,de:brote-zum-aufbacken	
4061458025584	Heringsfilets in Joghurtsauce mit Kräutern	400 g	en:seafood,en:fishes-and-their-products,en:fishes,en:fish-fillets,en:fish-preparations,en:herring-fillets	Heringsfilets 40 % Rapsöl, Joghurterzeugnis 15 % (Joghurt, Maistärke), Zwiebeln 10 %, Zucker, Schlagsahne 2 % , Eigelb, Branntweinessig Speisesalz, Schnittauch, Petersilie, Gewürze (enthäilt  Sellerie),Sauerungsmittel(Citronensäure, Weinsäure (L+). Popp Feinkost GmbH, Carl-Benz-Straße 3, D-24568 Kaltenkirchen
4061463964540	Bio-Apfelmus	360 g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:desserts,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:compotes,en:apple-compotes,en:applesauces	
4088600556161				
4061462602511	Mandeln naturell nur geröstet	1pcs	en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:almonds	
4061458120852	Hirschgulasch	300g		
4061458045940	Snack-Würfel ohne Öl - Hirtenkräuter	160g (2 x 80g)	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses	
4061458018609	Mozzarella-Minis - Light	250 g	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:italian-cheeses,en:stretched-curd-cheeses,en:mozzarella	Kuhmilch, Speisesalz, Milchsäurebakterien, mikrobieller Labaustauschstoff, Säuerungsmittel: Citronensäure.
4061458011938	Cremiger Quarkgenuss - Kirsche	500 g	en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:quarks,de:frischkäsezubereitung	60 % Frischkäse (Milch, Milchsäurekulturen, tierisches Lab), 19 % Joghurt mild, Zucker, 5,8 % Sauerkirschen, 4,2 % Sauerkirschsaft aus Sauerkirschsaftkonzentrat, Glukose-Fruktose-Sirup, Magermilchpulver, färbende Pflanzenkonzentrate (Traube, Rote-Beete-Saft), Verdickungsmittel: Pektine; natürliche Kirscharomen, natürliches Kirscharoma mit anderen natürlichen Aromen, Säureregulator: Trinatriumcitrat.
4061458011945	Cremiger Quarkgenuss - Limetten-Kuchen	500 g	en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:cheeses,en:dairy-desserts,en:fermented-dairy-desserts,en:petits-suisses,en:cream-cheeses,de:frischkäsezubereitung	61 % Frischkäse (Milch, Milchsäurekulturen, tierisches Lab), 21 % Joghurt mild, Zucker, 5,9 % Limettensaft aus Limettensaftkonzentrat, 2 % Kuchenstückchen (Zucker, Weizenmehl, Reismehl, Hühnerei-Eiweiß, Bohnenmehl, Weizenstärke, Kartoffelstärke, Sonnenblumenöl, Speisesalz, Verdickungsmittel: Natriumalginat; Aroma), Vollei, Magermilchpulver, modifizierte Stärke (aus Wachsmais), Verdickungsmittel: Pektine, Säureregulatoren: Natriumcitrate, Calciumcitrate; natürliches Aroma.
4061461687182	Käsekuchen mit Mandarinen	1pcs	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:cheesecakes	sekuchen auf Buttermürbeteig mit Mandarinen taten: 1995Speisequark, 1796 Mandarinen, Weizenmehl, Zucker, 9% Butter, Rapsõl, Hühnervolei, modifzierte Stärke, Traubenzudier, Molkenerzeugnis, Magermildhjoghurtpulver, Weizenstärke, Hühnereieiweißpulver', Glukosesirup, Weizeneiweiß, KonservierUngsstoff (Kaliumsorbat), Speisesalz, Säurerequlatoren (Milchsäure, Natriumacetate), Geliermitel arageen). 'u Bodenhaltung. Kann Spuren vn SCHALENFRÜCHTEN enthalten. Durchschnittliche Nährwerte Brennwert 1319kW/315 kcal Fet - davon gesättigte Fettsäuren Kohlenhydiate - davon Zucker Eiweiß Salz Je 100 g VO02 160 5,89 360 22 0 6.09 0,15g Ungeölfnet bei max. +7°C mindestens haltbar bis: siehe Aufdruck auf der Packungsoberselte. Kompack GmbH & Co KG Am Bettacker 5 35085 Hachbom 520g e 3pier 4061461687182
4061458018593	Mozzarella-Minis - Classic	250 g	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:italian-cheeses,en:stretched-curd-cheeses,en:mozzarella	Kuhmilch, Speisesalz, mikrobieller Labaustauschstoff, Säuerungsmittel: Citronensäure.
4061458045902	Snack-Würfel ohne Öl - Basilikum-Tomate	160g (2 x 80g)	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses	
4088600316482		500g	en:plant-based-foods-and-beverages,en:fermented-foods,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:non-dairy-yogurts,en:soy-milk-yogurts,en:fruit-soy-yogurts,en:blueberry-soy-yogurts	
4061461978945				
4061463697165	Filled Protein Riegel Strawberry Yogurt Geschmack	45g	en:snacks,en:sweet-snacks,en:confectioneries,en:bars,en:dietary-supplements,en:bodybuilding-supplements,en:protein-bars	
4061458026543	Kartoffelsalat Steakhouse Art	350 g	en:meals,en:prepared-salads,en:potato-dishes,en:potato-salads	Kartoffeln (66%), Rapsöl, Zucker, Branntweinessig, Lauchzwiebeln, Zwiebeln, Crème fraîche (1 %), Speisesalz, Senfsaaten, Kräuter, Eigelb, Gewürze, Paprika, Stärke, Verdickungsmittel: Guarkernmehl, Xanthan; Säureregulator: Natriumacetate.
4061458180566	Landbaguette - Gartenkräuterbutter	175 g		Mehrkornbaguette: Weizenmehl, Wasser, Roggenmehl, Haferflocken, Leinsamen, Roggennatursauerteig (Wasser, Roggenmehl), Weizenkleie, Roggenflocken, Hirse, Sonnenblumenkerne, Hefe, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Dextrose, Zucker, Weizenmalzmehl, Weizengluten, Weizenmalzextrakt, Gerstenmalzextrakt; Gartenkräuter-Butter-Füllung 20%: Butter 70 %, Wasser, Zwiebeln, Petersilie, Speisesalz, Knoblauch, Schnittlauch, Stärke, Kräuter, Gewürze, Säuerungsmittel: Citronensäure; Gewürzextrakte.
4061458049405	Romarin-Kartoffeln mit mildem Rosmarin-Pesto	530g (500g + 30g)	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:potatoes,en:potato-preparations	Kartoffeln, Rosmarin-Pesto (Pflanzenmargarine [Rapsöl, Kokosfett, Wasser, Emulgator: Mono - und Diglyceride von Speisefettsäuren, Säuerungsmittel: Citronensäure], natives Olivenöl extra 21 %, Rosmarin 20 %, Petersilie, Speisesalz, Gewürze), Speisesalz.
4061458004169	Apfel-Rotkohl	400g	en:blattgemuse,en:frucht-und-gemusebasierte-lebensmittel,en:fruchtbasierte-lebensmittel,en:fruchte,en:gemusebasierte-lebensmittel,en:kohl,en:pflanzliche-lebensmittel,en:pflanzliche-lebensmittel-und-getranke,en:rotkraut,en:apfel	"GARTEN
KRONEAPPel
ROLkODelikatess Apfelrotkohl, fertig zubereitet und gewürzt.
Zutaten: Rotkohl (67 96), Zucker, Wasser, Apfelsaft aus
plesaftkonzentrat (6 %), Apfelstücke (6 %6), Branntwein
331g, 5aliz, Gewürzextrakte, modifizierte Stärke."
4061462630682	ALDI Almar Seafood Thunfisch Filets	150g	en:seafood,en:fishes-and-their-products,en:canned-foods,en:fishes,en:fatty-fishes,en:canned-fishes,en:tunas,en:canned-tunas,en:fish-fillets,en:tuna-fillets	THUNFISCH FILETS in eigenem Saft und Aufguss
4061459349863		200 g	en:breakfasts,en:spreads,en:sweet-spreads	Zucker, Rapsöl, Magermilchpulver 7,5%, Kakaobutter 4,5 %, Haselnuss 2.5%, Haselnussstückchen 2,5 %, Kakaopulver stark entölt 2,5 %, Süßmolkenpulver Laktose, getrockneter Reissirup, wasserfreies Milchfett 0,8 %, Emulgator: Sojalecithin Bourbon Vanilleextrakt. Kann Spuren von anderen Schalenfrüchten enthalten Bei Zimmertemperatur aufbewahren. mit dem Geschmack der Milch Mäuse. Brinkers Food B.V. Marssteden 58 7547 TD Enschede i Niederlande 200 ge So trennt Gelbe man richtig: Tonne Glas
4061462624452	Chutney- Geschenkset	280g (4 x 70g)	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:fruit-chutneys	
4061458026345	Focaccia - Mozzarella mit Kräuterbutter	300g (2 x 150g)	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:special-breads,en:pre-baked-breads,de:brote-zum-aufbacken	_Weizenmehl_, Wasser, 8 % Kräuterbrotaufstrich (_Butter_, Rapsöl, Knoblauchpüree, Salz, 1,5 % Petersilie), 6,5 % Mozzarella (enthält _Milch_), Hefe, Rapsöl, Sonnenblumenöl, gemilderter Branntweinessig, Reismehl, Salz, natives Olivenöl, Knoblauchpulver, Zucker, Konservierungsstoff E281, 0,01 % Petersilie.
4061458010368	ALDI Asia Green Garden Sesamöl 250 ml	250ml	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:fats,en:cereals-and-their-products,en:vegetable-fats,en:vegetable-oils,en:cereal-oils,en:sesame-oils	100% Bio-Sesamöl kaltgepresst.
4061458068499	ALDI LANDFREUDE Spätzle  Aus Hartweizengrieß und frischen Hühnereiern aus Bodenhaltung hergestellt; goldgelb und bissfest 1.59 500-g-Packung kg = 3.18	500g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles,en:german-pasta,de:schwäbische-spätzle	"Hartweizengrieß, frische Hühnereier* (20 %). *aus Bodenhaltung
Kann Spuren von Soja enthalten."
4061461977108	ALDI GOURMET Eierteigwaren 250 g  Tagliatelle (schmal).jpeg	250g		
4061458005791	ALDI GUT BIO Hühnerbrühe Bio-Brühe  Ergiebigkeit: ca. 7 Liter; kontrolliert ökologische Erzeugung; verschiedene Sorten     0.99 140-g-Glas Liter = 0.14	140g	en:broths,en:groceries	
